Danish,English,StudyDay,Theme,Imagery
forsøger,try/attempt,1,Emotions & Qualities,"Imagine a tiny explorer attempting to climb a giant Danish Ø."
øve,practice,1,Music & Creativity,"An egg practices guitar scales while wearing headphones."
guitar,guitar,1,Music & Creativity,"A guitar used as a canoe paddle across a fjord."
skalaer,scales,1,Music & Creativity,"A fish with shiny musical scales sings do-re-mi."
hver dag,every day,1,Household & Daily Life,"A calendar chasing you shouting 'EVERY DAY!'"

gik,went,1,Travel & Transport,"Footprints walking themselves into a calendar."
tidligt,early,1,Emotions & Qualities,"A rooster wearing a wristwatch shouting 'too early!'"
pension,retirement,1,Work & Retirement,"A pensioner sitting on a bench made of coins."
rejse,travel,1,Travel & Transport,"A suitcase with wings flying toward a beach umbrella."

ønsker,wish/want,1,Emotions & Qualities,"A genie popping out of a coffee cup offering sheet music wishes."
forbedre,improve,1,Emotions & Qualities,"A frog lifting dumbbells labeled 'better'."
evner,skills,1,Emotions & Qualities,"A toolbox filled with glowing skill crystals."
spontan,spontaneous,1,Emotions & Qualities,"A lightning bolt wearing sunglasses saying 'I felt spontaneous.'"
jamming,jamming,1,Music & Creativity,"Traffic jam of guitars honking rhythmically."

yndlingsmåltid,favorite meal,1,Food & Lifestyle,"A trophy filled with spaghetti labeled 'favorite meal'."
tyk,thick,1,Food & Lifestyle,"A thick slice of bread flexing its carbs like muscles."
velkrydret,well-seasoned,1,Food & Lifestyle,"A chef snowing spices over a ribeye with a glitter storm."
bøf,steak,1,Food & Lifestyle,"A steak in sunglasses dancing at a disco."

købe,buy,1,Household & Daily Life,"A shopping cart scans your credit card like a robot."
basale,basic,1,Household & Daily Life,"A basic starter kit with a big 'BASIC' sticker."
dagligvarer,groceries,1,Food & Lifestyle,"Groceries marching like soldiers into your kitchen."
ugen,week,1,Household & Daily Life,"A giant 'WEEK' box you carry on your back."

trukket mig tilbage,retired,2,Work & Retirement,"A person reversing into a hammock labeled 'RETIRE'."
økonomisk,financial,2,Work & Retirement,"Calculator raining money while wearing glasses."
tryghed,security,2,Work & Retirement,"A teddy-bear shaped lock giving security hugs."
vigtig,important,2,Emotions & Qualities,"A giant exclamation mark wearing a crown."

guitaristen,guitarist,2,Music & Creativity,"A guitarist made of guitar strings playing itself."
spillede,played,2,Music & Creativity,"A jukebox pressing its own buttons to play."
kompleks,complex,2,Emotions & Qualities,"A maze holding a math textbook saying 'complex indeed'."
formindsket,diminished,2,Music & Creativity,"A shrinking chord wearing tiny shoes."
akkord,chord,2,Music & Creativity,"An accordion keyboard spelling 'CHORD'."

klar over,aware,2,Emotions & Qualities,"A glowing lightbulb above a head shouting 'NOW I KNOW!'."
mangle,lack/miss,2,Emotions & Qualities,"A magician’s hat missing the rabbit, looking embarrassed."
essentielle,essential,2,Household & Daily Life,"A checklist stamped 'ESSENTIAL' in red ink."
køkkenredskaber,kitchen tools,2,Household & Daily Life,"Spatulas marching like a kitchen army."

succesfuld,successful,2,Emotions & Qualities,"A trophy giving a thumbs-up."
improvisation,improvisation,2,Music & Creativity,"A jazz cat improvising with sunglasses at midnight."
afhænger,depends,2,Emotions & Qualities,"A decision tree hanging from strings labeled 'depends'."
hurtig,quick,2,Emotions & Qualities,"A cheetah on roller skates offering quick fixes."
tilpasning,adaptation,2,Music & Creativity,"A chameleon wearing headphones adapting to jazz."

indkøbene,shopping (purchases),2,Household & Daily Life,"Receipts sprouting legs and running home."
husholdningen,household,2,Household & Daily Life,"A house holding hands with a shopping cart."
fedtrige,fat-rich,2,Food & Lifestyle,"A bacon castle labeled 'fat-rich kingdom'."
kost,diet,2,Food & Lifestyle,"A diet plan flipping pages like a cartoon."
mæt,full,2,Food & Lifestyle,"A cat inflated like a balloon after eating."
