sequence,W2,W1,L1,L2,StudyDay,type
1,øve,practice,I try to practice guitar scales every day.,Jeg forsøger at øve guitar skalaer hver dag.,1,macro_review
2,pension,retirement,He took early retirement last year to travel.,Han gik tidligt på pension sidste år for at rejse.,1,macro_review
3,forbedre,improve,I want to improve my skills in spontaneous jamming.,Jeg ønsker at forbedre mine evner i spontan jamming.,1,macro_review
4,bøf,steak,"My favorite meal is a thick, well-seasoned ribeye steak","Mit yndlingsmåltid er en tyk, velkrydret ribeye bøf",1,macro_review
5,dagligvare,grocery,We need to buy basic groceries for the week.,Vi er nødt til at købe basale dagligvarer til ugen.,1,macro_review
6,guitarkasse,guitar case,I store my vintage instrument safely in its guitar case.,Jeg opbevarer mit vintage instrument sikkert i guitarkassen.,3,macro_review
7,spare,save,We decided to save money for a big summer vacation.,Vi besluttede at spare penge op til en stor sommerferie.,3,macro_review
8,ærlig,honest,I need you to be honest with me about the results.,"Jeg har brug for, at du er ærlig over for mig omkring resultaterne.",3,macro_review
9,stemning,mood,"The blues music created a powerful, soulful mood.","Bluesmusikken skabte en stærk, sjælfuld stemning.",3,macro_review
10,træning,training,I focus on weight training several times a week.,Jeg fokuserer på vægttræning flere gange om ugen.,3,macro_review
11,vente,wait,"We will have to wait for the bus, it's running late.","Vi bliver nødt til at vente på bussen, den er forsinket.",3,macro_review
12,tilfældighed,chance,Musical inspiration often happens by chance or accident.,Musisk inspiration sker ofte ved tilfældighed eller uheld.,4,micro_new
13,udfordring,challenge,The new lifestyle is proving to be a nutritional challenge.,Den nye livsstil viser sig at være en ernæringsmæssig udfordring.,4,micro_new
14,aftale,agreement,We made an agreement to meet next Tuesday at noon.,Vi lavede en aftale om at mødes næste tirsdag middag.,4,micro_new
15,ønske,wish,I wish I could play the guitar just like that master.,"Jeg ønsker, at jeg kunne spille guitar ligesom den mester.",4,micro_new
16,rolig,calm,"After years of working, retirement should be a calm phase.",Efter mange års arbejde burde pensionisttilværelsen være en rolig fase.,4,micro_new
17,frasering,phrasing,Good improvisation is all about melodic phrasing.,God improvisation handler om melodisk frasering.,4,micro_new
18,smør,butter,I add a tablespoon of butter to my coffee every morning.,Jeg tilføjer en spiseskefuld smør til min kaffe hver morgen.,4,micro_new
