item_id,l1_text,l2_text,start_time_ms,end_time_ms
76,L1 Sentence 76,L2 Sentence 76,0,2900
77,L1 Sentence 77,L2 Sentence 77,3900,6800
78,L1 Sentence 78,L2 Sentence 78,7800,10700
79,L1 Sentence 79,L2 Sentence 79,11700,14600
80,L1 Sentence 80,L2 Sentence 80,15600,18500
81,L1 Sentence 81,L2 Sentence 81,19500,22400
82,L1 Sentence 82,L2 Sentence 82,23400,26300
83,L1 Sentence 83,L2 Sentence 83,27300,30200
84,L1 Sentence 84,L2 Sentence 84,31200,34100
85,L1 Sentence 85,L2 Sentence 85,35100,38000
86,L1 Sentence 86,L2 Sentence 86,39000,41900
87,L1 Sentence 87,L2 Sentence 87,42900,45800
88,L1 Sentence 88,L2 Sentence 88,46800,49700
89,L1 Sentence 89,L2 Sentence 89,50700,53600
90,L1 Sentence 90,L2 Sentence 90,54600,57500
91,L1 Sentence 91,L2 Sentence 91,58500,61400
92,L1 Sentence 92,L2 Sentence 92,62400,65300
93,L1 Sentence 93,L2 Sentence 93,66300,69200
94,L1 Sentence 94,L2 Sentence 94,70200,73100
95,L1 Sentence 95,L2 Sentence 95,74100,77000
96,L1 Sentence 96,L2 Sentence 96,78000,80900
97,L1 Sentence 97,L2 Sentence 97,81900,84800
98,L1 Sentence 98,L2 Sentence 98,85800,88700
99,L1 Sentence 99,L2 Sentence 99,89700,92600
100,L1 Sentence 100,L2 Sentence 100,93600,96600
